method,variant,threads,rep,t_gen,t_count,t_merge,total,real,user,sys,cpu%,cycles,instructions,cache_ref,cache_miss
openmp,private,1,1,1.38802,0.213611,3.1256e-05,1.60166,1.64,1.21,0.35,95%,2257873804,4327501498,29255168,10327371
openmp,private,1,2,1.10579,0.176706,2.8579e-05,1.28253,1.32,1.03,0.28,99%,2225982777,4324435625,20951536,10183806
openmp,private,1,3,1.092,0.175249,3.0646e-05,1.26728,1.30,1.02,0.28,99%,2222531412,4326092966,20716003,10110484
openmp,private,2,1,1.44592,0.0901338,5.6428e-05,1.53611,1.58,2.52,0.26,176%,5033588917,4342106883,61311982,12498240
openmp,private,2,2,1.53178,0.0891562,5.3663e-05,1.62099,1.66,2.48,0.29,167%,4204181506,4339046030,52095860,11217619
openmp,private,2,3,1.31879,0.0899098,5.4348e-05,1.40875,1.45,2.24,0.29,174%,4581172216,4342892537,57580025,11421069
openmp,private,4,1,2.51472,0.114078,0.000100438,2.6289,2.68,9.11,0.30,350%,15800595107,4397690913,124712307,17396568
openmp,private,4,2,1.38163,0.109714,9.7707e-05,1.49145,1.54,4.64,0.29,318%,15526116806,4398004889,137022586,17027215
openmp,private,4,3,1.43456,0.112682,9.2657e-05,1.54734,1.60,4.73,0.30,313%,8263108705,4388616039,87969103,16560314
openmp,mutex,1,1,1.08549,2.43861,0,3.5241,3.56,3.26,0.29,99%,7016084225,6550043618,21748733,9923496
openmp,mutex,1,2,1.097,2.44002,0,3.53702,3.57,3.28,0.28,99%,7068582415,6553924225,23368173,10866962
openmp,mutex,1,3,1.10677,2.44161,0,3.54838,3.58,3.30,0.28,99%,7000714626,6548551591,21357686,9905077
openmp,mutex,2,1,1.59787,10.6592,0,12.2571,12.30,23.81,0.27,195%,26426541200,7026455533,343209473,15748112
openmp,mutex,2,2,1.60348,9.67865,0,11.2821,11.32,21.62,0.30,193%,26907261963,7015323020,337739954,15635102
openmp,mutex,2,3,1.46609,10.2498,0,11.7159,11.75,22.69,0.27,195%,26199192039,7011523907,327481773,15091413
openmp,mutex,4,1,2.57172,12.5779,0,15.1496,15.20,57.38,0.32,379%,79237314078,8792456089,600427995,16497824
openmp,mutex,4,2,1.38044,13.1019,0,14.4823,14.53,55.87,0.32,386%,69109002106,8705515102,521956893,16565283
openmp,mutex,4,3,2.46021,12.4069,0,14.8671,14.91,56.75,0.31,382%,79371104994,8829698303,606872085,16493530
openmp,atomic,1,1,1.08196,1.08237,0,2.16434,2.20,1.92,0.27,99%,3918708726,4740847952,20965399,9982837
openmp,atomic,1,2,1.06803,1.0771,0,2.14513,2.17,1.90,0.27,99%,3908873333,4736873821,20999930,9904884
openmp,atomic,1,3,1.07533,1.08829,0,2.16362,2.19,1.93,0.26,99%,3992824253,4742117044,23228523,10070400
openmp,atomic,2,1,1.48293,0.668764,0,2.15169,2.19,3.62,0.27,177%,7142457598,4758939579,183078746,16005641
openmp,atomic,2,2,1.59249,0.640196,0,2.23268,2.27,3.82,0.27,180%,6986759916,4759002600,177448192,15885213
openmp,atomic,2,3,1.44644,0.640846,0,2.08728,2.12,3.50,0.27,177%,7028588340,4756999576,178139443,16509135
openmp,atomic,4,1,2.60222,0.708566,0,3.31079,3.35,11.90,0.28,362%,11834953783,4788973669,156724245,14553509
openmp,atomic,4,2,1.43182,0.713627,0,2.14544,2.19,7.06,0.28,335%,19921979929,4819664220,220078140,16781610
openmp,atomic,4,3,1.45548,0.710473,0,2.16596,2.21,7.38,0.27,345%,19511416728,4817920757,217002058,16487477
stdthread,private,1,1,1.06514,0.205874,3.6311e-05,1.27106,1.30,1.03,0.26,99%,2313286398,4536605413,20443095,9735927
stdthread,private,1,2,1.08278,0.202481,3.7072e-05,1.2853,1.31,1.04,0.27,99%,2278298648,4533325467,20088117,9602769
stdthread,private,1,3,1.08869,0.204179,3.0068e-05,1.2929,1.32,1.06,0.26,100%,2281429809,4561185520,20034014,9710073
stdthread,private,2,1,1.08197,0.103945,6.0295e-05,1.18597,1.21,1.04,0.27,108%,2267019617,4531551492,20101590,9753643
stdthread,private,2,2,1.08682,0.103579,5.8203e-05,1.19046,1.22,1.05,0.27,108%,2262717158,4532121104,20160939,9788782
stdthread,private,2,3,1.06401,0.103503,5.6976e-05,1.16757,1.20,1.03,0.26,108%,2270406535,4532911749,20127426,9789204
stdthread,private,4,1,1.08603,0.116807,8.8772e-05,1.20292,1.23,1.31,0.26,127%,2695539980,4533856413,41821342,14219977
stdthread,private,4,2,1.07364,0.116468,9.1873e-05,1.1902,1.22,1.30,0.26,128%,2717089987,4568960854,42308448,14342969
stdthread,private,4,3,1.08711,0.116436,8.6558e-05,1.20363,1.23,1.30,0.28,128%,2713318768,4566337369,44208916,14029579
stdthread,mutex,1,1,1.05973,3.3134,0,4.37313,4.40,4.12,0.27,99%,8438997493,11956181761,21873621,9896200
stdthread,mutex,1,2,1.10732,3.39169,0,4.499,4.53,4.27,0.25,99%,8599175964,11995133035,26741332,10663241
stdthread,mutex,1,3,1.08982,3.29554,0,4.38536,4.41,4.14,0.26,99%,8433406875,11954836665,21556804,9955300
stdthread,mutex,2,1,1.07566,17.0902,0,18.1659,18.19,18.53,16.67,193%,49789763836,33609558265,458825710,19503401
stdthread,mutex,2,2,1.31671,14.0279,0,15.3446,15.38,18.68,9.97,186%,49028689247,32894886272,493383158,18818219
stdthread,mutex,2,3,1.2226,13.6898,0,14.9124,14.94,16.83,10.89,185%,53237174071,35752471413,513233662,19758022
stdthread,mutex,4,1,1.2437,18.2624,0,19.5061,19.54,25.72,36.15,316%,89664111211,48841376950,683923204,20861103
stdthread,mutex,4,2,1.19531,19.079,0,20.2743,20.31,25.34,40.66,325%,91264752398,47615371800,701858546,19561226
stdthread,mutex,4,3,1.20894,19.0194,0,20.2283,20.26,29.08,39.94,340%,93929750384,51767223464,697762503,18740409
stdthread,atomic,1,1,1.0917,0.169772,0,1.26148,1.29,1.01,0.28,99%,2219317616,4264817018,19984173,9725846
stdthread,atomic,1,2,1.12271,0.178133,0,1.30084,1.33,1.06,0.26,99%,2221932659,4266657506,20412322,9704749
stdthread,atomic,1,3,1.0677,0.17578,0,1.24348,1.27,1.00,0.27,99%,2220672347,4232287697,20119734,9757463
stdthread,atomic,2,1,1.09436,0.74036,0,1.83472,1.86,2.32,0.27,139%,4414624670,4274074882,237206166,14367150
stdthread,atomic,2,2,1.08252,0.740828,0,1.82335,1.85,2.31,0.27,139%,4403840846,4239717512,236933740,14292297
stdthread,atomic,2,3,1.07827,0.742346,0,1.82061,1.85,2.32,0.26,139%,4403960416,4241123419,236568763,14318388
stdthread,atomic,4,1,1.0702,0.43362,0,1.50382,1.53,2.56,0.25,182%,4772000626,4243864300,202637440,14292938
stdthread,atomic,4,2,1.08196,0.431762,0,1.51372,1.54,2.55,0.26,182%,4749441270,4243400133,201107845,14275056
stdthread,atomic,4,3,1.06634,0.428613,0,1.49495,1.52,2.52,0.26,182%,4994647423,4256734631,198598061,14387516
